pk_serie,cod_escola,nome_escola,n_classe_sed,tipo_de_ensino,capacidade,quant_alunos_ativos,nome_serie_sed,periodo,tipo_ensino_matricula,turma,cod_turma,cod_escola,filtro_serie,link_sala,cod_turma,id
10134,01,EM SEMENTES DO BEM,295060230,EDUCACAO INFANTIL,21,20,2ª ETAPA PRÉ-ESCOLA A MANHA ANUAL,MANHA,PRÉ-ESCOLA,P2A,2501P2A,01,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1QrGZS2YZy9_AxzQGv6J-O0hUHYVgyFf0TnnyoNr1r0w/edit?usp=drivesdk,2501P2A,1QrGZS2YZy9_AxzQGv6J-O0hUHYVgyFf0TnnyoNr1r0w
10135,01,EM SEMENTES DO BEM,295060289,EDUCACAO INFANTIL,22,22,2ª ETAPA PRÉ-ESCOLA B MANHA ANUAL,MANHA,PRÉ-ESCOLA,P2B,2501P2B,01,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/1p0U2cpoB-MhaB0DNv6RbhrnswrM-m6uEX9p80YkcqE8/edit?usp=drivesdk,2501P2B,1p0U2cpoB-MhaB0DNv6RbhrnswrM-m6uEX9p80YkcqE8
10136,01,EM SEMENTES DO BEM,295060313,EDUCACAO INFANTIL,24,24,2ª ETAPA PRÉ-ESCOLA C TARDE ANUAL,TARDE,PRÉ-ESCOLA,P2C,2501P2C,01,PRÉ-ESCOLA 2,https://docs.google.com/spreadsheets/d/13rZUCdFBKNbjhu8o_xAcpcxOF89wks-pDPrMCfsIhPk/edit?usp=drivesdk,2501P2C,13rZUCdFBKNbjhu8o_xAcpcxOF89wks-pDPrMCfsIhPk
10144,01,EM SEMENTES DO BEM,294980594,ENSINO FUNDAMENTAL DE 9 ANOS,20,19,1° ANO A MANHA ANUAL,MANHA,FUNDAMENTAL,1A,25011A,01,1 ANO,https://docs.google.com/spreadsheets/d/18CsW4mdKgj-z6hByA8cQzon_sN_9oRW2uha_FAY0rlY/edit?usp=drivesdk,25011A,18CsW4mdKgj-z6hByA8cQzon_sN_9oRW2uha_FAY0rlY
10145,01,EM SEMENTES DO BEM,294980636,ENSINO FUNDAMENTAL DE 9 ANOS,21,19,1° ANO B MANHA ANUAL,MANHA,FUNDAMENTAL,1B,25011B,01,1 ANO,https://docs.google.com/spreadsheets/d/1kkm4uK3VmAWYpwN6crJMziqzBE83zjx47ANAkhItJ90/edit?usp=drivesdk,25011B,1kkm4uK3VmAWYpwN6crJMziqzBE83zjx47ANAkhItJ90
10146,01,EM SEMENTES DO BEM,294980644,ENSINO FUNDAMENTAL DE 9 ANOS,21,21,1° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,1C,25011C,01,1 ANO,https://docs.google.com/spreadsheets/d/17DxNmFmErljw89HnWVmIYuI-OyoCdOPpPedXKvjU8XQ/edit?usp=drivesdk,25011C,17DxNmFmErljw89HnWVmIYuI-OyoCdOPpPedXKvjU8XQ
10147,01,EM SEMENTES DO BEM,294980651,ENSINO FUNDAMENTAL DE 9 ANOS,21,21,1° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,1D,25011D,01,1 ANO,https://docs.google.com/spreadsheets/d/1-1oQi98Gsh7G6QYdeNLhitx2J5UfiAZGymECVtQ8sKQ/edit?usp=drivesdk,25011D,1-1oQi98Gsh7G6QYdeNLhitx2J5UfiAZGymECVtQ8sKQ
10148,01,EM SEMENTES DO BEM,295060180,ENSINO FUNDAMENTAL DE 9 ANOS,21,21,1° ANO E TARDE ANUAL,TARDE,FUNDAMENTAL,1E,25011E,01,1 ANO,https://docs.google.com/spreadsheets/d/1IjbuYLGch01wkLB1pK2CYusENMas26Bh7mzg_19xLVU/edit?usp=drivesdk,25011E,1IjbuYLGch01wkLB1pK2CYusENMas26Bh7mzg_19xLVU
10154,01,EM SEMENTES DO BEM,295060339,ENSINO FUNDAMENTAL DE 9 ANOS,20,19,2° ANO A MANHA ANUAL,MANHA,FUNDAMENTAL,2A,25012A,01,2 ANO,https://docs.google.com/spreadsheets/d/1dMO8B8OqY31dxl9loyUnYaeOmZRQwReI1Qd8Z4cCezY/edit?usp=drivesdk,25012A,1dMO8B8OqY31dxl9loyUnYaeOmZRQwReI1Qd8Z4cCezY
10155,01,EM SEMENTES DO BEM,295060362,ENSINO FUNDAMENTAL DE 9 ANOS,20,20,2° ANO B MANHA ANUAL,MANHA,FUNDAMENTAL,2B,25012B,01,2 ANO,https://docs.google.com/spreadsheets/d/12uShOoXHuNqPGGFSMpa7f7sKdvyDmOqhm5DjVpSad9s/edit?usp=drivesdk,25012B,12uShOoXHuNqPGGFSMpa7f7sKdvyDmOqhm5DjVpSad9s
10156,01,EM SEMENTES DO BEM,295060370,ENSINO FUNDAMENTAL DE 9 ANOS,21,21,2° ANO C TARDE ANUAL,TARDE,FUNDAMENTAL,2C,25012C,01,2 ANO,https://docs.google.com/spreadsheets/d/1MwV5Xqk8bHnWGCzT3SWuzQ9yVEcPbc1V5tqwtAfA340/edit?usp=drivesdk,25012C,1MwV5Xqk8bHnWGCzT3SWuzQ9yVEcPbc1V5tqwtAfA340
10157,01,EM SEMENTES DO BEM,295060404,ENSINO FUNDAMENTAL DE 9 ANOS,21,21,2° ANO D TARDE ANUAL,TARDE,FUNDAMENTAL,2D,25012D,01,2 ANO,https://docs.google.com/spreadsheets/d/1QhCmI9gq2S6hgPJrqHL3yz1Zdx2vNn3Pewu1UB4fidQ/edit?usp=drivesdk,25012D,1QhCmI9gq2S6hgPJrqHL3yz1Zdx2vNn3Pewu1UB4fidQ
10194,01,EM SEMENTES DO BEM,295440093,EDUCACAO ESPECIAL EXCLUSIVA,10,3,EEE A MANHA ANUAL,MANHA,EDUCAÇÃO EXCLUSIVA,EEEA,2501EEEA,01,EDUCAÇÃO EXCLUSIVA,https://docs.google.com/spreadsheets/d/1x5iL7_fPoDSm52z8LBVDAJcmU2nBW9c0T4Bi-Ljw3Ss/edit?usp=drivesdk,2501EEEA,1x5iL7_fPoDSm52z8LBVDAJcmU2nBW9c0T4Bi-Ljw3Ss
10195,01,EM SEMENTES DO BEM,295440101,EDUCACAO ESPECIAL EXCLUSIVA,10,5,EEE B TARDE ANUAL,TARDE,EDUCAÇÃO EXCLUSIVA,EEEB,2501EEEB,01,EDUCAÇÃO EXCLUSIVA,https://docs.google.com/spreadsheets/d/114RsDLAruSc_alGmTli5TJVSUBTTX3Tu6e9DSnxiTX8/edit?usp=drivesdk,2501EEEB,114RsDLAruSc_alGmTli5TJVSUBTTX3Tu6e9DSnxiTX8
10196,01,EM SEMENTES DO BEM,,ATENDIMENTO EDUCACIONAL ESPECIALIZADO,,,AEE A MANHA ANUAL,MANHA,EDUCAÇÃO ESPECIAL,AEEA,2501AEEA,01,EDUCAÇÃO ESPECIAL,https://docs.google.com/spreadsheets/d/11mqElLUx0emrDExRrpS14lapFheiZu2fbxKz6njoTBk/edit?usp=drive_link,2501AEEA,11mqElLUx0emrDExRrpS14lapFheiZu2fbxKz6njoTBk
