cod_escola,cod_ue,escola,inep,endereco,cep,telefone,cod_sed,dir_email,assist_email,coord_email,sec_email,etapa,educacao_infantil,quant_turma_INF,pre_escola,quant_turma_PRE,ensino_fundamental,quant_turma_FUND,turmas_totais,aee,eee,status_aee,Ano letivo,status_eja,decreto_de_criacao,CNPJ,Decreto Altera,linkPiloto,turma1,turma2,turma3,turma4,turma5,turma6,turma7,turma8,turma9,turma10,turma11,turma12,turma13,turma14,turma15,turma16,turma17,turma18,turma19,turma20,turma21,turma22,turma23,turma24,turma25,turma26,turma27,turma28,turma29,turma30,turma31,turma32,turma33,turma34,turma35,turma36,turma37,turma38,turma39,turma40
01,2501,EM SEMENTES DO BEM,35010459,"Rua Jorge Mansour Costa, S/N, Bairro Indaiá",11260015,13 33132759,010459,dir.sementesdobem@seducbertioga.com.br,assist.sementesdobem@seducbertioga.com.br,coord.sementesdobem@seducbertioga.com.br,sec.sementesdobem@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,3,ENSINO FUNDAMENTAL I,9,16,2,2,,03/02/2025 à 19/12/2025,NÃO,Lei nº 1584 de 06/03/2024  - BOM 1159,,,https://docs.google.com/spreadsheets/d/1EjI83o5KxPq4VwFFUlxPs0BBcjSd1SMLQrVqya_HT8o/edit?usp=drivesdk,P2A,P2B,P2C,1A,1B,1C,1D,1E,2A,2B,2C,2D,EEEA,EEEB,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,
02,2502,EM DR. DINO BUENO,35207020,Rua José Rodrigues 15,11250126,13 33171820,207020,dir.dinobueno@seducbertioga.com.br,assist.dinobueno@seducbertioga.com.br,coord.emdinobueno@seducbertioga.com.br,sec.dinobueno@seducbertioga.com.br,Ed. Infantil,NDA,0,PRÉ ESCOLA,8,NDA,0,10,2,0,,03/02/2025 à 19/12/2025,NÃO,Resolução SE nº 59 de 30/10/1985 - Decreto 23.246 de 01/02/1985,,"Decreto de criação A EM DR. DINO BUENO foi fundada em 03 de março de 1985, inicialmente como Escola Estadual. Funcionava na Avenida Tomé de Souza, onde hoje funciona a Casa da Cultura do Município. Em 30 de dezembro de 1995, a unidade escolar foi transferida para o prédio atual, na Rua José Rodrigues nº 15, no Centro de Bertioga. Autorização de instalação e funcionamento •        Resolução SE nº 59 de 30/10/1985 - Decreto 23.246 de 01/02/1985  Denominações: •        E.E.P.G. Dr. Dino Bueno – 1985 a 1997   •        E.M.E.F. Dr. Dino Bueno – 1998 a 2017  •        E.M Dr. Dino Bueno – 2017",https://docs.google.com/spreadsheets/d/1GSi6r6mv201dNAO-F35Y2cuagKupD3KUgN2MRebSGzE/edit?usp=drivesdk,P1A,P1B,P1C,P1D,P2A,P2B,P2C,P2D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,2503,EM DR. JOSÉ ERMÍRIO DE MORAES FILHO,35201054,"Rua Victorio Guidolim, S/N, Bairro Indaiá",11260594,13 33131213,201054,dir.joseermirio@seducbertioga.com.br,assist.joseermirio@seducbertioga.com.br,coord.ermirio@seducbertioga.com.br,sec.ermirio@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,11,13,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto Municipal 053/93 – Portaria da Diretoria Regional de Santos CEI 20913/93 – Diário Oficial de 07/02/98.,CNPJ 00845243/0001-20,,https://docs.google.com/spreadsheets/d/15ScxoMMVyzpSGKpZsCobVyfiZk2Z28WT4ouG7F9cThs/edit?usp=drivesdk,3A,3B,3C,3D,4A,4B,4C,4D,5A,5B,5C,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,2504,EM GENÉSIO SEBASTIÃO DOS SANTOS,35580636,"Rua Aprovada Seissentos E Dois,35",11259054,13 3331 6379,580636,dir.genesio@seducbertioga.com.br,assist.genesio@seducbertioga.com.br,coord.genesio@seducbertioga.com.br,sec.genesio@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,20,24,2,0,,03/02/2025 à 19/12/2025,2,,,,https://docs.google.com/spreadsheets/d/1_sxccr8ETt-guZO1sv8-18z1xkN_BOVq2fAc3EmHKxw/edit?usp=drivesdk,1A,1B,1C,1D,2A,2B,2C,2D,2E,2F,3A,3B,3C,3D,4A,4B,5A,5B,5C,5D,AEEA,AEEB,EJA1A,EJA2A,,,,,,,,,,,,,,,,
05,2505,EM GIUSFREDO SANTINI,35207032,"Rua Epiphânio Baptista, 66",11250560,13 33177015,207032,dir.giusfredo@seducbertioga.com.br,assist.giusfredo@seducbertioga.com.br,coord.giusfredo@seducbertioga.com.br,sec.giusfredo@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,18,22,2,0,,03/02/2025 à 19/12/2025,2,Decreto  Municipal 236 de 23/06/96.,Não tem.,DECRETO MUNICIPAL  2.648 publicado no BOM em 03/12/2016,https://docs.google.com/spreadsheets/d/13rRY5OfUxhh6pM-N8oNaZBDnFLMOxlcNbxjeGkPAh1k/edit?usp=drivesdk,1A,1B,1C,1D,2A,2B,2C,2D,2E,3A,3B,3C,4A,4B,5A,5B,5C,5D,AEEA,AEEB,EJA1A,EJA2A,,,,,,,,,,,,,,,,,,
06,2506,EM GOVERNADOR MÁRIO COVAS JÚNIOR,35021261,"Av. São Lourenço, 2160 - Riviera",11261594,13 33166920,021261,dir.mariocovas@seducbertioga.com.br,assist.mariocovas@seducbertioga.com.br,coord.mariocovas@seducbertioga.com.br,sec.mariocovas@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,6,9,3,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1PX47xrTnfC5jacdSpaQUWPXd0a2HusxiyhcOb6CSrYk/edit?usp=drivesdk,2A,2B,3A,3B,4A,5A,AEEA,AEEB,AEEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,2507,EM HILDA STRENGER RIBEIRO,35207044,"Av. Anchieta, 8619",11258428,13 33119601,207044,dir.hildastrenger@seducbertioga.com.br,assist.hildastrenger@seducbertioga.com.br,coord.hildastrenger@seducbertioga.com.br,sec.hildastrenger@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,6,ENSINO FUNDAMENTAL I,17,25,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto N° 39.973 publicado no DOE do dia 22/02/1995,,Decreto Municipal N° 2.625 de 09/12/2016,https://docs.google.com/spreadsheets/d/1eYS1DztRYh36scVAn2j10UBAgGWZSG_IbwYhqYD6YlY/edit?usp=drivesdk,P1A,P1B,P1C,P2A,P2B,P2C,1A,1B,1C,2A,2B,2C,2D,3A,3B,3C,4A,4B,4C,4D,5A,5B,5C,AEEA,AEEB,,,,,,,,,,,,,,,
08,2508,EM CAMINHOS DO BEM,35407264,"Rua Dr. Lincoln Bolivar Neves, 60 - Vista Linda",11259090,13 33119977,407264,dir.jdvistalinda@seducbertioga.com.br,assist.jdvistalinda@seducbertioga.com.br,coord.jdvistalinda@seducbertioga.com.br,sec.jdvistalinda@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,10,ENSINO FUNDAMENTAL I,21,34,3,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1Rn21-BLJUSofH_9oI1zJ9K7GB0-8J9bpJoqyPRR9JfM/edit?usp=drivesdk,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P1I,P2A,1A,1B,1C,1D,1E,2A,2B,2C,3A,3B,3C,3D,4A,4B,4C,4D,4E,4F,5A,5B,5C,AEEA,AEEB,AEEC,,,,,,
09,2509,EM JOSÉ CARLOS BUZINARO,35653861,Rua Aprovada 624 Quadra A - Nº 15 Costa Do Sol,11267474,13 33126356,653861,dir.buzinaro@seducbertioga.com.br,assist.buzinaro@seducbertioga.com.br,coord.buzinaro@seducbertioga.com.br,sec.buzinaro@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,4,ENSINO FUNDAMENTAL I,10,17,2,1,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1jVbIhfpFV86KmFOumUjzJ34HobqH_oPu6p8pjMVafM0/edit?usp=drivesdk,P1A,P1B,P2A,P2B,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,EEEA,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,
10,2510,EM JOSÉ DE OLIVEIRA SANTOS,35209557,"Rua Cardeal Emyle Biayenda, 248",11256070,13 33171129,209557,dir.josedeoliveira@seducbertioga.com.br,assist.josedeoliveira@seducbertioga.com.br,coord.josedeoliveira@seducbertioga.com.br,sec.josedeoliveira@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,18,20,2,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1q0fARWtkxCcekV6qsqti6I6dKEyJkx2gbBjp_VomKHg/edit?usp=drivesdk,1A,1B,1C,1D,1E,2A,2B,2C,2D,3A,3B,3C,4A,4B,4C,5A,5B,5C,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,
